 央视,#genre#
 
 CCTV1,http://192.168.100.1:5000/itv/wasusyt/6000000001000029752
 CCTV1,http://192.168.100.1:5000/itv/bestzb/5000000004000002226
 CCTV1,http://192.168.100.1:5000/itv/ystenlive/1000000005000265001
 CCTV2,http://192.168.100.1:5000/itv/ystenlive/1000000001000023315
 CCTV2,http://192.168.100.1:5000/itv/wasusyt/6000000001000014161
 CCTV2,http://192.168.100.1:5000/itv/ystenlive/1000000001000023315
 CCTV3,http://192.168.100.1:5000/itv/wasusyt/6000000001000022313
 CCTV3,http://192.168.100.1:5000/itv/ystenlive/1000000005000265003
 CCTV4,http://192.168.100.1:5000/itv/bestzb/5000000011000031102
 CCTV4,http://192.168.100.1:5000/itv/ystenlive/1000000005000265004
 CCTV5,http://192.168.100.1:5000/itv/ystenlive/1000000005000025222
 CCTV5,http://192.168.100.1:5000/itv/ystenlive/1000000005000265005
 CCTV5+,http://192.168.100.1:5000/itv/wasusyt/6000000001000015875
 CCTV5+,http://192.168.100.1:5000/itv/ystenlive/1000000005000265016
 CCTV6,http://192.168.100.1:5000/itv/ystenlive/1000000001000001737
 CCTV6,http://192.168.100.1:5000/itv/wasusyt/6000000001000004574
 CCTV6,http://192.168.100.1:5000/itv/ystenlive/1000000005000265006
 CCTV7,http://192.168.100.1:5000/itv/ystenlive/1000000001000024341
 CCTV7,http://192.168.100.1:5000/itv/wasusyt/6000000001000009055
 CCTV7,http://192.168.100.1:5000/itv/ystenlive/1000000005000265007
 CCTV8,http://192.168.100.1:5000/itv/wasusyt/6000000001000001070
 CCTV8,http://192.168.100.1:5000/itv/ystenlive/1000000005000265008
 CCTV9,http://192.168.100.1:5000/itv/ystenlive/1000000001000014583
 CCTV9,http://192.168.100.1:5000/itv/wasusyt/6000000001000032162
 CCTV9,http://192.168.100.1:5000/itv/ystenlive/1000000005000265009
 CCTV10,http://192.168.100.1:5000/itv/ystenlive/1000000001000023734
 CCTV10,http://192.168.100.1:5000/itv/bestzb/5000000004000012827
 CCTV10,http://192.168.100.1:5000/itv/ystenlive/1000000005000265010
 CCTV11,http://192.168.100.1:5000/itv/bestzb/5000000011000031106
 CCTV11,http://192.168.100.1:5000/itv/ystenlive/1000000005000265011
 CCTV12,http://192.168.100.1:5000/itv/ystenlive/1000000001000032494
 CCTV12,http://192.168.100.1:5000/itv/wasusyt/6000000001000022586
 CCTV12,http://192.168.100.1:5000/itv/ystenlive/1000000005000265012
 CCTV13,http://192.168.100.1:5000/itv/bestzb/5000000011000031108
 CCTV14,http://192.168.100.1:5000/itv/ystenlive/1000000001000008170
 CCTV14,http://192.168.100.1:5000/itv/bestzb/5000000004000006673
 CCTV14,http://192.168.100.1:5000/itv/ystenlive/1000000005000265013
 CCTV15,http://192.168.100.1:5000/itv/bestzb/5000000011000031109
 CCTV15,http://192.168.100.1:5000/itv/ystenlive/1000000005000265014
 CCTV16,http://192.168.100.1:5000/itv/ystenlive/1000000006000233002
 CCTV16,http://192.168.100.1:5000/itv/bestzb/5000000008000023254
 CCTV17,http://192.168.100.1:5000/itv/ystenlive/1000000006000268004
 CCTV17,http://192.168.100.1:5000/itv/ystenlive/1000000005000265015
 
 
 卫视,#genre#
 安徽卫视,http://192.168.100.1:5000/itv/ystenlive/1000000001000030159
 安徽卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000009954
 安徽卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265025
 东南卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000010584
 东南卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265033
 甘肃卫视,http://192.168.100.1:5000/itv/bestzb/5000000011000031121
 广东卫视,http://192.168.100.1:5000/itv/ystenlive/1000000001000014176
 广东卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000031076
 广东卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265034
 广西卫视,http://192.168.100.1:5000/itv/bestzb/5000000011000031118
 贵州卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000025843
 海南卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000006211
 河北卫视,http://192.168.100.1:5000/itv/bestzb/5000000006000040016
 河南卫视,http://192.168.100.1:5000/itv/bestzb/5000000011000031119
 黑龙江卫视,http://192.168.100.1:5000/itv/ystenlive/1000000001000001925
 黑龙江卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000016510
 黑龙江卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265029
 湖北卫视,http://192.168.100.1:5000/itv/ystenlive/1000000001000024621
 湖北卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000015436
 湖北卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265023
 湖南卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000006692
 湖南卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000018044
 湖南卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265024
 吉林卫视,http://192.168.100.1:5000/itv/bestzb/5000000011000031117
 江苏卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000014861
 江苏卫视,http://192.168.100.1:5000/itv/ystenlive/1000000001000001828
 江苏卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265030
 江西卫视,http://192.168.100.1:5000/itv/ystenlive/1000000006000268001
 江西卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265032
 辽宁卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000011671
 辽宁卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265022
 青海卫视,http://192.168.100.1:5000/itv/ystenlive/1000000002000013359
 山东卫视,http://192.168.100.1:5000/itv/ystenlive/1000000001000016568
 山东卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000004134
 山东卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265019
 东方卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000003639
 东方卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000014098
 东方卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265018
 深圳卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000007410
 深圳卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000002116
