 央视频道,#genre#
 CCTV1,http://192.168.100.1:5000/tptv/G_CCTV-1-AVS-4K264?type=origin.m3u8
 CCTV2,http://192.168.100.1:5000/tptv/G_CCTV-2-HD-265-8M?type=origin.m3u8
 CCTV3,http://192.168.100.1:5000/tptv/G_CCTV-3-AVS-4K264?type=origin.m3u8
 CCTV4,http://192.168.100.1:5000/tptv/G_CCTV-4-HD-265-8M?type=origin.m3u8
 CCTV5,http://192.168.100.1:5000/tptv/G_CCTV-5-AVS-4K264?type=origin.m3u8
 CCTV5+,http://192.168.100.1:5000/tptv/G_CCTV-5PLUS-HD-265-8M?type=origin.m3u8
 CCTV6,http://192.168.100.1:5000/tptv/G_CCTV-6-AVS-4K264?type=origin.m3u8
 CCTV7,http://192.168.100.1:5000/tptv/G_CCTV-7-HD-265-8M?type=origin.m3u8
 CCTV8,http://192.168.100.1:5000/tptv/G_CCTV-8-AVS-4K264?type=origin.m3u8
 CCTV9,http://192.168.100.1:5000/tptv/G_CCTV-9-HD-265-8M?type=origin.m3u8
 CCTV10,http://192.168.100.1:5000/tptv/G_CCTV-10-HD-265-8M?type=origin.m3u8
 CCTV11,http://192.168.100.1:5000/tptv/H265-5500k-1080P-cctv11?type=origin.m3u8
 CCTV12,http://192.168.100.1:5000/tptv/G_CCTV-12-HD-265-8M?type=origin.m3u8
 CCTV13,http://192.168.100.1:5000/tptv/G_CCTV-13-HQ?type=origin.m3u8
 CCTV14,http://192.168.100.1:5000/tptv/G_CCTV-14-CQ?type=origin.m3u8
 CCTV15,http://192.168.100.1:5000/tptv/H265-5500k-1080P-cctv15?type=origin.m3u8
 CCTV16,http://192.168.100.1:5000/tptv/G_CCTV-16-CQ?type=origin.m3u8
 CCTV16,http://192.168.100.1:5000/tptv/G_CCTV-16-4K?type=origin.m3u8
 CCTV17,http://192.168.100.1:5000/tptv/G_CCTV-17-CQ?type=origin.m3u8
 CCTV4K,http://192.168.100.1:5000/tptv/G_CCTV-4K-HD?type=origin.m3u8
 卫视频道,#genre#
 江苏卫视,http://192.168.100.1:5000/tptv/G_JIANGSU-HD-265-8M?type=origin.m3u8
 东方卫视,http://192.168.100.1:5000/tptv/G_DONGFANG-HD-265-8M?type=origin.m3u8
 北京卫视,http://192.168.100.1:5000/tptv/G_BEIJING-HD-265-8M?type=origin.m3u8
 广东卫视,http://192.168.100.1:5000/tptv/G_GUANGDONG-HD-265-8M?type=origin.m3u8
 山东卫视,http://192.168.100.1:5000/tptv/G_SHANDONG-HD-265-8M?type=origin.m3u8
 深圳卫视,http://192.168.100.1:5000/tptv/G_SHENZHEN-HD-265-8M?type=origin.m3u8
 湖北卫视,http://192.168.100.1:5000/tptv/G_HUBEI-HD-265-8M?type=origin.m3u8
 湖南卫视,http://192.168.100.1:5000/tptv/G_HUNAN-HD-265-8M?type=origin.m3u8
 浙江卫视,http://192.168.100.1:5000/tptv/G_ZHEJIANG-HD-265-8M?type=origin.m3u8
 黑龙江卫视,http://192.168.100.1:5000/tptv/G_HEILONGJIANG-HD-265-8M?type=origin.m3u8
 天津卫视,http://192.168.100.1:5000/tptv/G_TIANJIN-HD-265-8M?type=origin.m3u8
 安徽卫视,http://192.168.100.1:5000/tptv/G_ANHUI-HD-265-8M?type=origin.m3u8
 辽宁卫视,http://192.168.100.1:5000/tptv/G_LIAONING-HD-265-8M?type=origin.m3u8
 东南卫视,http://192.168.100.1:5000/tptv/H265-5500k-1080P-dongnanstv?type=origin.m3u8
 吉林卫视,http://192.168.100.1:5000/tptv/G_JILIN-CQ?type=origin.m3u8
 四川卫视,http://192.168.100.1:5000/tptv/G_SICHUAN-CQ?type=origin.m3u8
 江西卫视,http://192.168.100.1:5000/tptv/G_JIANGXI-CQ?type=origin.m3u8
 河北卫视,http://192.168.100.1:5000/tptv/G_HEBEI-CQ?type=origin.m3u8
 河南卫视,http://192.168.100.1:5000/tptv/G_HENAN-CQ?type=origin.m3u8
 贵州卫视,http://192.168.100.1:5000/tptv/G_GUIZHOU-CQ?type=origin.m3u8
 重庆卫视,http://192.168.100.1:5000/tptv/G_CHONGQING-CQ?type=origin.m3u8
 云南卫视,http://192.168.100.1:5000/tptv/G_YUNNAN-HQ?type=origin.m3u8
 三沙卫视,http://192.168.100.1:5000/tptv/G_SANSHA-HQ?type=origin.m3u8
 海南卫视,http://192.168.100.1:5000/tptv/HD-8000k-1080P-lvyoustv?type=origin.m3u8
 凤凰卫视,http://192.168.100.1:5000/tptv/HD-10000k-1080P-fhchinese5s?type=origin.m3u8
 数字频道,#genre#
 纯享4K,http://192.168.100.1:5000/tptv/HD-20M-2160P-chunxiang4k?type=origin.m3u8
 高清臻享睛彩篮球,http://192.168.100.1:5000/tptv/miguaoyun01-AVS-4K01?type=origin.m3u8
 睛彩篮球,http://192.168.100.1:5000/tptv/HD-8000k-1080P-miguaoyun1?type=origin.m3u8
 高清臻享睛彩竞技,http://192.168.100.1:5000/tptv/miguaoyun1-AVS?type=origin.m3u8
 睛彩竞技,http://192.168.100.1:5000/tptv/HD-8000k-1080P-miguaoyun2?type=origin.m3u8
 睛彩青少,http://192.168.100.1:5000/tptv/HD-8000k-1080P-quanminrl?type=origin.m3u8
 黑莓电影,http://192.168.100.1:5000/tptv/HD-8000k-1080P-Supermovie?type=origin.m3u8
